
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
90:9F:33:63:1A:76, 2016-10-24 16:38:01, 2016-10-24 16:38:09, 13,  54, WPA2, CCMP,PSK, -84,        2,        0,   0.  0.  0.  0,   8, Haimnano, 
00:09:B4:75:1C:3B, 2016-10-24 16:38:00, 2016-10-24 16:38:08,  1,  54, WPA2WPA , CCMP TKIP, MGT, -83,        4,        0,   0.  0.  0.  0,   9, ollehWiFi, 
04:8D:38:B6:D2:5E, 2016-10-24 16:38:00, 2016-10-24 16:38:08,  1,  54, WPA2, CCMP TKIP,PSK, -80,        2,        0,   0.  0.  0.  0,  13, SO070VOIPD25C, 
00:09:B4:75:2E:8D, 2016-10-24 16:38:00, 2016-10-24 16:38:00,  1,  54, OPN ,       ,   , -79,        2,        0,   0.  0.  0.  0,   0, , 
06:09:B4:75:2E:8B, 2016-10-24 16:38:01, 2016-10-24 16:38:09, 13,  54, OPN ,       ,   , -76,        3,        0,   0.  0.  0.  0,  10, ollehWiFi , 
00:27:1C:AD:1A:D9, 2016-10-24 16:38:00, 2016-10-24 16:38:08,  1,  54, WPA2, CCMP,PSK, -75,        3,        0,   0.  0.  0.  0,   9, U+Net1ADB, 
00:30:0D:D4:3A:30, 2016-10-24 16:38:01, 2016-10-24 16:38:10, 13,  54, WPA2WPA , CCMP TKIP, MGT, -76,        4,        0,   0.  0.  0.  0,   9, ollehWiFi, 
06:30:0D:D4:3A:31, 2016-10-24 16:38:01, 2016-10-24 16:38:09, 13,  54, OPN ,       ,   , -74,        3,        0,   0.  0.  0.  0,  10, ollehWiFi , 
64:E5:99:51:E4:78, 2016-10-24 16:38:01, 2016-10-24 16:38:09, 13,  54, WPA2, CCMP,PSK, -74,        4,        4,   0.  0.  0.  0,  10, Norma_2.4G, 
00:23:AA:60:4E:ED, 2016-10-24 16:38:03, 2016-10-24 16:38:03,  8,  54, WPA2, CCMP TKIP,PSK, -74,        2,        0,   0.  0.  0.  0,  15, SK_WiFiGIGA4EEE, 
12:23:AA:60:4E:ED, 2016-10-24 16:38:03, 2016-10-24 16:38:03,  8,  54, WPA2, CCMP,PSK, -73,        2,        0,   0.  0.  0.  0,   7, , 
00:09:B4:75:1C:2B, 2016-10-24 16:38:00, 2016-10-24 16:38:08,  1,  54, WPA2WPA , CCMP TKIP, MGT, -69,        4,        0,   0.  0.  0.  0,   9, ollehWiFi, 
06:09:B4:75:1C:2B, 2016-10-24 16:38:00, 2016-10-24 16:38:08,  1,  54, OPN ,       ,   , -70,        2,        0,   0.  0.  0.  0,  10, ollehWiFi , 
90:9F:33:D6:F2:74, 2016-10-24 16:38:03, 2016-10-24 16:38:03,  8,  54, WPA2, CCMP,PSK, -57,        2,        0,   0.  0.  0.  0,   7, Mureung, 
90:9F:33:BE:3B:4C, 2016-10-24 16:38:03, 2016-10-24 16:38:06,  8,  54, WPA2, CCMP,PSK, -32,        5,        0,   0.  0.  0.  0,  15, Norma_2.4G_test, 
00:26:66:CD:34:24, 2016-10-24 16:38:05, 2016-10-24 16:38:05,  4,  54, WPA2, CCMP TKIP,PSK, -84,        3,        0,   0.  0.  0.  0,  13, GHD151222-001, 
90:9F:33:D3:B8:A2, 2016-10-24 16:38:05, 2016-10-24 16:38:05,  4,  54, WPA2, CCMP,PSK, -37,        2,        0,   0.  0.  0.  0,   7, Norma_b, 
06:09:B4:75:E3:93, 2016-10-24 16:38:06, 2016-10-24 16:38:06,  5,  54, OPN ,       ,   , -76,        3,        0,   0.  0.  0.  0,  10, ollehWiFi , 
64:E5:99:5B:4A:C0, 2016-10-24 16:38:06, 2016-10-24 16:38:06,  5,  54, WPA2, CCMP,PSK, -44,        3,        0,   0.  0.  0.  0,  11, Norma_Phone, 
90:9F:33:64:76:B8, 2016-10-24 16:38:06, 2016-10-24 16:38:06,  5,  54, WPA2, CCMP,PSK, -85,        2,        0,   0.  0.  0.  0,   8, neuracle, 
00:09:B4:75:E3:93, 2016-10-24 16:38:06, 2016-10-24 16:38:06,  5,  54, WPA2WPA , CCMP TKIP, MGT, -78,        2,        0,   0.  0.  0.  0,   9, ollehWiFi, 
90:9F:33:5F:E2:24, 2016-10-24 16:38:06, 2016-10-24 16:38:06,  5,  54, WPA2, CCMP,PSK, -54,        2,        0,   0.  0.  0.  0,   5, kouno, 
1C:A5:32:70:75:90, 2016-10-24 16:38:07, 2016-10-24 16:38:07,  6,  54, WPA , TKIP,PSK, -43,        2,        0,   0.  0.  0.  0,  17, , 
1C:A5:32:70:75:91, 2016-10-24 16:38:07, 2016-10-24 16:38:07,  6,  54, WPA2, CCMP,PSK, -44,        2,        0,   0.  0.  0.  0,   9, U+Net7593, 
BC:96:80:99:CF:F0, 2016-10-24 16:38:07, 2016-10-24 16:38:07,  6,  54, WPA , TKIP,PSK, -83,        2,        0,   0.  0.  0.  0,  17, , 
00:09:B4:75:65:7B, 2016-10-24 16:38:08, 2016-10-24 16:38:08,  1,  54, WPA2WPA , CCMP TKIP, MGT, -83,        3,        0,   0.  0.  0.  0,   9, ollehWiFi, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
04:8D:38:03:0E:38, 2016-10-24 16:38:01, 2016-10-24 16:38:01, -127,        1, 64:E5:99:51:E4:78,
AC:EE:9E:A9:30:90, 2016-10-24 16:38:01, 2016-10-24 16:38:01, -127,        3, 64:E5:99:51:E4:78,

