
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
06:09:B4:75:65:7B, 2016-11-07 11:37:46, 2016-11-07 11:37:46,  9,  54, OPN ,       ,   , -83,        2,        0,   0.  0.  0.  0,  10, ollehWiFi , 
00:26:66:7B:10:9C, 2016-11-07 11:37:45, 2016-11-07 11:37:46,  9,  54, WPA2, CCMP,PSK, -76,        2,        0,   0.  0.  0.  0,  10, WEPL_multi, 
90:9F:33:8F:F1:AE, 2016-11-07 11:37:46, 2016-11-07 11:37:46,  9,  54, WPA2, CCMP,PSK, -74,        2,        0,   0.  0.  0.  0,   7, overdam, 
90:9F:33:7E:D8:50, 2016-11-07 11:37:46, 2016-11-07 11:37:47, 10,  54, WPA2, CCMP,PSK, -73,        2,        0,   0.  0.  0.  0,   7, haimbio, 
06:09:B4:75:2E:8B, 2016-11-07 11:37:45, 2016-11-07 11:37:46,  9,  54, OPN ,       ,   , -72,        2,        0,   0.  0.  0.  0,  10, ollehWiFi , 
64:E5:99:FD:1E:F4, 2016-11-07 11:37:47, 2016-11-07 11:37:48, 11,  54, WPA2, CCMP,PSK, -71,        2,        0,   0.  0.  0.  0,  13, norma_rogueap, 
90:9F:33:7B:C3:D4, 2016-11-07 11:37:45, 2016-11-07 11:37:46,  9,  54, WPA2, CCMP,PSK, -60,        2,        0,   0.  0.  0.  0,   6, kumath, 
64:E5:99:74:7A:4C, 2016-11-07 11:37:47, 2016-11-07 11:37:48, 11,  54, WPA2, CCMP,PSK, -60,        2,        0,   0.  0.  0.  0,  11, iptimea-aaa, 
62:4D:7F:9F:CE:5F, 2016-11-07 11:37:40, 2016-11-07 11:37:40,  1,  54, WPA2, CCMP,PSK, -57,        1,        0,   0.  0.  0.  0,   6, iPhone, 
90:9F:33:D7:24:6C, 2016-11-07 11:37:45, 2016-11-07 11:37:46,  9,  54, WPA2, CCMP,PSK, -36,        3,        0,   0.  0.  0.  0,  11, iptime_test, 
90:9F:33:BE:3B:4C, 2016-11-07 11:37:47, 2016-11-07 11:37:48,  8,  54, WPA2, CCMP,PSK, -17,        2,        0,   0.  0.  0.  0,  15, Norma_2.4G_test, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
30:52:CB:09:AA:DA, 2016-11-07 11:37:46, 2016-11-07 11:37:46, -82,        1, 00:26:66:7B:10:9C,
30:CD:A7:3E:30:43, 2016-11-07 11:37:46, 2016-11-07 11:37:46, -82,        1, 00:26:66:7B:10:9C,
40:4D:7F:9F:CE:5F, 2016-11-07 11:37:50, 2016-11-07 11:37:50, -68,        1, (not associated) , ollehWiFi 
60:E3:AC:E9:5A:62, 2016-11-07 11:37:49, 2016-11-07 11:37:49, -46,        1, (not associated) ,
08:10:77:13:A9:7B, 2016-11-07 11:37:40, 2016-11-07 11:37:40, -30,        3, (not associated) ,

