
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
32:CD:A7:2F:B5:75, 2015-09-21 13:11:22, 2015-09-21 13:11:33, 11,  54, WPA2, CCMP,PSK, -66,        3,        0,   0.  0.  0.  0,  20, DIRECT-xdC470 Series, 
00:27:1C:23:42:AE, 2015-09-21 13:11:30, 2015-09-21 13:11:32,  9,  54, WPA2, CCMP, MGT, -97,        2,        0,   0.  0.  0.  0,   6, U+zone, 
00:01:36:C3:6E:F4, 2015-09-21 13:11:23, 2015-09-21 13:11:56,  6,  54, WPA2, CCMP, MGT, -97,        4,        0,   0.  0.  0.  0,   6, U+zone, 
00:25:A6:AF:7D:3B, 2015-09-21 13:11:23, 2015-09-21 13:11:56,  1,  54, WPA2WPA , CCMP TKIP, MGT, -75,        2,        0,   0.  0.  0.  0,   9, ollehWiFi, 
90:9F:33:90:0A:10, 2015-09-21 13:11:23, 2015-09-21 13:11:55,  6,  54, OPN ,       ,   , -97,        1,        0,   0.  0.  0.  0,   6, iptime, 
00:25:A6:AF:81:37, 2015-09-21 13:11:21, 2015-09-21 13:11:25,  9,  54, WPA2WPA , CCMP TKIP, MGT, -72,        2,        0,   0.  0.  0.  0,   9, ollehWiFi, 
00:08:9F:AF:4E:D0, 2015-09-21 13:11:27, 2015-09-21 13:11:27,  1,  -1, OPN ,       ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
00:17:C3:99:E8:33, 2015-09-21 13:11:20, 2015-09-21 13:11:56,  1,  54, WPA2, CCMP TKIP,PSK, -97,       12,        0,   0.  0.  0.  0,  12, KT_WLAN_9983, 
38:2C:4A:A0:F8:F1, 2015-09-21 13:11:20, 2015-09-21 13:11:56,  7,  54, WPA2, CCMP,PSK, -94,       16,        3,   0.  0.  0.  0,  13, MWSTORY_Guest, 
38:2C:4A:A0:F8:F0, 2015-09-21 13:11:20, 2015-09-21 13:11:56,  7,  54, WPA2, CCMP,PSK, -97,        2,       11,   0.  0.  0.  0,   7, MWSTORY, 
00:27:1C:23:42:AD, 2015-09-21 13:11:21, 2015-09-21 13:11:58,  9,  54, WPA2, CCMP,PSK, -97,       23,        0,   0.  0.  0.  0,   9, U+Net42AF, 
00:26:66:CD:34:24, 2015-09-21 13:11:22, 2015-09-21 13:11:58,  4,  54, WPA2, CCMP TKIP,PSK, -97,       58,        0,   0.  0.  0.  0,  11, embedded_2G, 
90:9F:33:90:0A:0C, 2015-09-21 13:11:22, 2015-09-21 13:11:58,  5,  54, WPA2, CCMP,PSK, -97,       27,        0,   0.  0.  0.  0,   2, OP, 
00:26:66:B3:A0:68, 2015-09-21 13:11:22, 2015-09-21 13:11:51, 11,  54, WEP , WEP,   , -97,       13,        9,   0.  0.  0.  0,   6, hwajin, 
00:13:4E:09:DB:C0, 2015-09-21 13:11:23, 2015-09-21 13:11:52, 13,  54, WPA , CCMP TKIP,PSK, -97,        6,        0,   0.  0.  0.  0,   0, , 
08:5D:DD:16:D8:CA, 2015-09-21 13:11:23, 2015-09-21 13:11:56,  6,  54, WPA2, CCMP,PSK, -97,       51,        0,   0.  0.  0.  0,   9, U+NetD8CC, 
00:01:36:C3:6E:F0, 2015-09-21 13:11:23, 2015-09-21 13:11:56,  6,  54, WPA , TKIP,PSK, -97,        6,        0,   0.  0.  0.  0,  17, , 
90:9F:33:90:78:10, 2015-09-21 13:11:23, 2015-09-21 13:11:56,  6,  54, OPN ,       ,   , -97,        4,        0,   0.  0.  0.  0,   6, iptime, 
02:17:C3:99:E8:33, 2015-09-21 13:11:23, 2015-09-21 13:11:56,  1,  54, WPA2, CCMP TKIP,PSK, -97,       12,        0,   0.  0.  0.  0,   7, , 
